,player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries,year,progressive_passes_per90,progressive_carries_per90
378,Aaron Ramsey 18,MF,Arsenal,27,1331.0,0.22,0.15,0.37,0.22,0.37,63.0,3.04,38.0,0.0,2.0,3.0,1.0,103.0,18,4.259954921111945,6.964688204357626
379,Kayne Ramsey 18,DF,Southampton,17,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
380,Marcus Rashford 18,FW,Manchester Utd,20,2334.0,0.36,0.16,0.52,0.36,0.52,60.0,2.78,51.0,2.0,4.0,5.0,8.0,124.0,18,2.313624678663239,4.781491002570694
381,Tim Ream 18,DF,Fulham,30,2047.0,0.0,0.01,0.01,0.0,0.01,66.0,0.4,6.0,1.0,0.0,1.0,1.0,44.0,18,2.90180752320469,1.9345383488031267
382,Nathan Redmond 18,"FW,MF",Southampton,24,3270.0,0.18,0.14,0.32,0.18,0.32,90.0,3.63,94.0,1.0,20.0,9.0,4.0,262.0,18,2.477064220183486,7.2110091743119265
383,Bobby Reid 18,"MF,FW",Cardiff City,25,1424.0,0.28,0.07,0.35,0.23,0.3,20.0,2.34,24.0,0.0,4.0,5.0,4.0,36.0,18,1.2640449438202246,2.2752808988764044
384,Declan Rice 18,MF,West Ham,19,3003.0,0.04,0.01,0.05,0.04,0.05,78.0,0.9,26.0,0.0,0.0,2.0,0.0,97.0,18,2.3376623376623376,2.907092907092907
385,Jazz Richards 18,"DF,MF",Cardiff City,27,132.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,1.3636363636363638,0.6818181818181819
386,Richarlison 18,"FW,MF",Everton,21,2665.0,0.3,0.05,0.35,0.3,0.35,66.0,2.5,43.0,0.0,6.0,11.0,13.0,171.0,18,2.228893058161351,5.774859287054409
387,Diego Rico 18,DF,Bournemouth,25,612.0,0.03,0.15,0.18,0.03,0.18,34.0,2.21,10.0,3.0,1.0,1.0,0.0,26.0,18,5.0,3.823529411764706
388,Sergio Rico 18,GK,Fulham,24,2610.0,0.0,0.01,0.01,0.0,0.01,0.0,0.17,4.0,1.0,0.0,0.0,0.0,0.0,18,0.0,0.0
389,Matt Ritchie 18,"DF,MF",Newcastle Utd,28,2928.0,0.14,0.16,0.3,0.1,0.25,91.0,2.58,49.0,26.0,2.0,2.0,3.0,124.0,18,2.7971311475409837,3.8114754098360657
390,Andrew Robertson 18,DF,Liverpool,24,3216.0,0.02,0.19,0.22,0.02,0.22,243.0,2.29,77.0,2.0,3.0,0.0,0.0,228.0,18,6.800373134328358,6.380597014925373
391,Marcos Rojo 18,DF,Manchester Utd,28,212.0,0.11,0.0,0.11,0.11,0.11,8.0,1.27,2.0,0.0,0.0,1.0,0.0,20.0,18,3.3962264150943393,8.49056603773585
392,Oriol Romeu 18,MF,Southampton,26,2136.0,0.03,0.01,0.05,0.03,0.05,126.0,1.05,16.0,2.0,0.0,6.0,0.0,71.0,18,5.308988764044944,2.991573033707865
393,Salomón Rondón 18,FW,Newcastle Utd,28,2603.0,0.38,0.12,0.5,0.38,0.5,52.0,2.32,56.0,0.0,2.0,6.0,2.0,67.0,18,1.7979254706108339,2.3165578179024204
394,Danny Rose 18,"DF,MF",Tottenham,28,1798.0,0.05,0.11,0.16,0.05,0.16,93.0,2.5,35.0,4.0,3.0,3.0,5.0,143.0,18,4.655172413793103,7.157953281423804
395,Aaron Rowe 18,FW,Huddersfield,17,69.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3,1.0,0.0,0.0,0.0,0.0,4.0,18,1.3043478260869565,5.217391304347826
396,John Ruddy 18,GK,Wolves,31,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
397,Antonio Rüdiger 18,DF,Chelsea,25,2871.0,0.06,0.01,0.07,0.06,0.07,151.0,0.78,19.0,0.0,0.0,5.0,0.0,188.0,18,4.733542319749216,5.893416927899687
398,Mathew Ryan 18,GK,Brighton,26,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
399,Abdelhamid Sabiri 18,FW,Huddersfield,21,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,0.0,1.875
400,Romain Saïss 18,"MF,DF",Wolves,28,1149.0,0.12,0.02,0.14,0.12,0.14,57.0,0.55,7.0,0.0,0.0,0.0,0.0,38.0,18,4.464751958224543,2.9765013054830285
401,Bukayo Saka 18,FW,Arsenal,16,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
402,Mamadou Sakho 18,DF,Crystal Palace,28,2416.0,0.02,0.01,0.04,0.02,0.04,91.0,0.34,7.0,1.0,1.0,0.0,0.0,58.0,18,3.3899006622516556,2.160596026490066
403,Bakary Sako 18,"MF,FW",Crystal Palace,30,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18,0.0,9.310344827586206
404,Mohamed Salah 18,FW,Liverpool,26,3250.0,0.51,0.24,0.76,0.45,0.7,143.0,3.99,92.0,5.0,22.0,11.0,14.0,251.0,18,3.9599999999999995,6.950769230769231
405,Alexis Sánchez 18,"FW,MF",Manchester Utd,29,880.0,0.14,0.34,0.48,0.14,0.48,46.0,3.99,29.0,0.0,3.0,2.0,4.0,65.0,18,4.704545454545454,6.6477272727272725
406,Carlos Sánchez 18,MF,West Ham,32,245.0,0.03,0.03,0.06,0.03,0.06,7.0,2.57,6.0,1.0,0.0,0.0,0.0,9.0,18,2.571428571428571,3.3061224489795915
407,Davinson Sánchez 18,DF,Tottenham,22,1942.0,0.07,0.0,0.07,0.07,0.07,51.0,0.42,7.0,0.0,0.0,2.0,0.0,57.0,18,2.363542739443872,2.641606591143151
408,Leroy Sané 18,FW,Manchester City,22,1867.0,0.27,0.32,0.59,0.27,0.59,76.0,3.52,47.0,9.0,10.0,5.0,2.0,158.0,18,3.6636314943760047,7.616497054097483
409,Fabian Schär 18,DF,Newcastle Utd,26,1999.0,0.07,0.03,0.1,0.07,0.1,66.0,0.99,21.0,0.0,1.0,0.0,0.0,78.0,18,2.9714857428714354,3.5117558779389695
410,Christopher Schindler 18,DF,Huddersfield,28,3260.0,0.03,0.01,0.04,0.03,0.04,67.0,0.33,10.0,1.0,0.0,0.0,0.0,39.0,18,1.8496932515337423,1.0766871165644172
411,Jeffrey Schlupp 18,MF,Crystal Palace,25,1670.0,0.16,0.08,0.24,0.16,0.24,57.0,1.4,22.0,0.0,2.0,1.0,1.0,77.0,18,3.0718562874251494,4.1497005988023945
412,Kasper Schmeichel 18,GK,Leicester City,31,3420.0,0.0,0.01,0.01,0.0,0.01,2.0,0.05,1.0,1.0,0.0,0.0,0.0,1.0,18,0.05263157894736842,0.02631578947368421
413,Morgan Schneiderlin 18,MF,Everton,28,834.0,0.01,0.09,0.11,0.01,0.11,27.0,1.51,12.0,1.0,0.0,0.0,1.0,20.0,18,2.913669064748201,2.158273381294964
414,André Schürrle 18,"FW,MF",Fulham,27,1641.0,0.17,0.08,0.26,0.17,0.26,35.0,2.14,32.0,0.0,3.0,2.0,2.0,101.0,18,1.919561243144424,5.539305301645338
415,Ken Sema 18,"MF,FW",Watford,24,754.0,0.13,0.09,0.22,0.13,0.22,16.0,2.39,14.0,0.0,3.0,3.0,0.0,35.0,18,1.909814323607427,4.177718832891246
416,Jean Seri 18,MF,Fulham,27,2244.0,0.04,0.15,0.19,0.04,0.19,124.0,3.41,58.0,25.0,0.0,2.0,0.0,111.0,18,4.973262032085562,4.451871657754011
417,Ryan Sessegnon 18,"FW,DF",Fulham,18,2300.0,0.13,0.17,0.31,0.13,0.31,59.0,2.66,43.0,11.0,9.0,3.0,1.0,125.0,18,2.308695652173913,4.891304347826087
418,Xherdan Shaqiri 18,"FW,MF",Liverpool,26,1064.0,0.32,0.18,0.5,0.32,0.5,65.0,2.79,25.0,5.0,1.0,1.0,1.0,59.0,18,5.4981203007518795,4.9906015037593985
419,Luke Shaw 18,DF,Manchester Utd,23,2591.0,0.04,0.12,0.16,0.04,0.16,174.0,2.33,50.0,6.0,7.0,3.0,0.0,179.0,18,6.04399845619452,6.2176765727518335
420,Jonjo Shelvey 18,MF,Newcastle Utd,26,948.0,0.1,0.12,0.22,0.1,0.22,68.0,3.99,23.0,9.0,5.0,3.0,0.0,54.0,18,6.455696202531645,5.1265822784810124
421,Gylfi Sigurðsson 18,MF,Everton,28,3117.0,0.31,0.2,0.5,0.19,0.39,126.0,3.64,69.0,32.0,7.0,9.0,8.0,104.0,18,3.638113570741097,3.0028873917228105
422,Adrien Silva 18,MF,Leicester City,29,88.0,0.0,0.0,0.0,0.0,0.0,8.0,1.02,1.0,0.0,0.0,0.0,0.0,3.0,18,8.181818181818182,3.0681818181818183
423,Bernardo Silva 18,"MF,FW",Manchester City,23,2854.0,0.21,0.23,0.44,0.21,0.44,147.0,3.78,102.0,4.0,8.0,3.0,2.0,324.0,18,4.6355991590749825,10.217238962859145
424,David Silva 18,MF,Manchester City,32,2401.0,0.27,0.35,0.62,0.27,0.62,189.0,5.29,115.0,8.0,5.0,8.0,3.0,260.0,18,7.084548104956268,9.745939192003332
425,Xande Silva 18,MF,West Ham,21,18.0,0.37,0.13,0.5,0.37,0.5,0.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,18,0.0,5.0
426,Danny Simpson 18,DF,Leicester City,31,292.0,0.0,0.01,0.01,0.0,0.01,7.0,0.62,2.0,0.0,0.0,0.0,0.0,2.0,18,2.1575342465753424,0.6164383561643836
427,Jack Simpson 18,DF,Bournemouth,21,403.0,0.03,0.01,0.04,0.03,0.04,10.0,0.67,3.0,0.0,0.0,0.0,0.0,4.0,18,2.2332506203473943,0.8933002481389578
428,Josh Sims 18,"FW,MF",Southampton,21,212.0,0.25,0.22,0.47,0.25,0.47,1.0,1.7,4.0,0.0,0.0,0.0,0.0,7.0,18,0.4245283018867924,2.9716981132075473
429,Moussa Sissoko 18,MF,Tottenham,28,2330.0,0.04,0.1,0.14,0.04,0.14,89.0,1.66,37.0,0.0,2.0,0.0,2.0,143.0,18,3.4377682403433476,5.523605150214592
430,Oliver Skipp 18,MF,Tottenham,17,220.0,0.02,0.01,0.03,0.02,0.03,5.0,0.82,2.0,0.0,0.0,0.0,0.0,3.0,18,2.0454545454545454,1.227272727272727
431,Callum Slattery 18,MF,Southampton,19,112.0,0.14,0.0,0.14,0.14,0.14,3.0,2.41,3.0,0.0,0.0,0.0,0.0,2.0,18,2.4107142857142856,1.6071428571428572
432,Chris Smalling 18,DF,Manchester Utd,28,2127.0,0.04,0.02,0.06,0.04,0.06,33.0,0.38,9.0,0.0,0.0,0.0,0.0,35.0,18,1.3963328631875882,1.4809590973201694
433,Adam Smith 18,DF,Bournemouth,27,2066.0,0.02,0.04,0.05,0.02,0.05,82.0,1.52,23.0,4.0,2.0,0.0,6.0,122.0,18,3.5721200387221685,5.314617618586641
434,Tommy Smith 18,DF,Huddersfield,26,1141.0,0.0,0.03,0.03,0.0,0.03,32.0,1.18,12.0,0.0,1.0,1.0,0.0,35.0,18,2.52410166520596,2.7607361963190185
435,Robert Snodgrass 18,MF,West Ham,30,2220.0,0.1,0.2,0.3,0.1,0.3,82.0,3.81,42.0,41.0,2.0,5.0,3.0,150.0,18,3.324324324324324,6.081081081081081
436,Cédric Soares 18,DF,Southampton,26,1495.0,0.02,0.09,0.11,0.02,0.11,58.0,1.51,23.0,1.0,0.0,1.0,0.0,79.0,18,3.491638795986622,4.7558528428093645
437,Ramadan Sobhi 18,"FW,MF",Huddersfield,21,79.0,0.0,0.2,0.2,0.0,0.2,5.0,6.84,5.0,0.0,1.0,0.0,0.0,5.0,18,5.69620253164557,5.69620253164557
438,Dominic Solanke 18,FW,Bournemouth,20,347.0,0.23,0.16,0.39,0.23,0.39,6.0,4.41,12.0,0.0,3.0,0.0,1.0,17.0,18,1.5561959654178674,4.409221902017291
439,Pape Souaré 18,DF,Crystal Palace,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18,0.0,90.0
440,Çağlar Söyüncü 18,DF,Leicester City,22,372.0,0.03,0.0,0.03,0.03,0.03,17.0,0.24,1.0,0.0,0.0,0.0,0.0,12.0,18,4.112903225806451,2.9032258064516125
441,Julián Speroni 18,GK,Crystal Palace,39,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
442,Junior Stanislas 18,"MF,FW",Bournemouth,28,1031.0,0.32,0.18,0.5,0.26,0.43,60.0,2.62,22.0,3.0,2.0,2.0,1.0,62.0,18,5.237633365664403,5.412221144519884
443,Dale Stephens 18,MF,Brighton,29,2485.0,0.01,0.03,0.04,0.01,0.04,114.0,1.12,28.0,1.0,0.0,1.0,0.0,59.0,18,4.128772635814889,2.13682092555332
444,Jack Stephens 18,DF,Southampton,24,1700.0,0.04,0.01,0.05,0.04,0.05,47.0,0.64,11.0,0.0,0.0,1.0,0.0,58.0,18,2.488235294117647,3.0705882352941174
445,Raheem Sterling 18,FW,Manchester City,23,2771.0,0.45,0.3,0.75,0.45,0.75,94.0,4.25,91.0,1.0,22.0,7.0,10.0,281.0,18,3.05304944063515,9.126669072536991
446,John Stones 18,DF,Manchester City,24,1764.0,0.01,0.01,0.02,0.01,0.02,87.0,0.71,13.0,1.0,0.0,0.0,0.0,169.0,18,4.438775510204081,8.622448979591836
447,Daniel Sturridge 18,"FW,MF",Liverpool,28,509.0,0.23,0.21,0.44,0.23,0.44,31.0,2.65,14.0,0.0,1.0,0.0,0.0,25.0,18,5.481335952848723,4.4204322200392925
448,Denis Suárez 18,FW,Arsenal,24,71.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18,1.267605633802817,10.140845070422536
449,Isaac Success 18,"FW,MF",Watford,22,1052.0,0.22,0.17,0.39,0.22,0.39,30.0,3.08,25.0,0.0,2.0,0.0,7.0,69.0,18,2.5665399239543727,5.903041825095057
450,Ki Sung-yueng 18,MF,Newcastle Utd,29,1302.0,0.01,0.07,0.08,0.01,0.08,55.0,2.21,19.0,11.0,0.0,1.0,1.0,47.0,18,3.80184331797235,3.248847926267281
451,Andrew Surman 18,MF,Bournemouth,31,1439.0,0.02,0.05,0.07,0.02,0.07,74.0,1.44,20.0,1.0,0.0,1.0,0.0,38.0,18,4.628214037526059,2.376650451702571
452,Sam Surridge 18,"FW,DF",Bournemouth,20,13.0,2.7,0.44,3.14,2.7,3.14,0.0,13.85,1.0,0.0,0.0,0.0,1.0,1.0,18,0.0,6.923076923076923
453,Alexander Sørloth 18,"FW,MF",Crystal Palace,22,185.0,0.13,0.32,0.45,0.13,0.45,3.0,2.43,5.0,0.0,0.0,0.0,0.0,8.0,18,1.4594594594594597,3.891891891891892
454,Matt Targett 18,"DF,MF",Southampton,22,1186.0,0.05,0.21,0.25,0.05,0.25,57.0,2.58,22.0,9.0,0.0,1.0,1.0,40.0,18,4.325463743676223,3.0354131534569984
455,James Tarkowski 18,DF,Burnley,25,3086.0,0.1,0.01,0.11,0.1,0.11,97.0,0.52,14.0,0.0,0.0,4.0,0.0,47.0,18,2.828904731043422,1.3707064160725857
456,Charlie Taylor 18,DF,Burnley,24,3243.0,0.0,0.03,0.03,0.0,0.03,94.0,0.83,16.0,9.0,2.0,0.0,2.0,156.0,18,2.608695652173913,4.329324699352451
457,Youri Tielemans 18,MF,Leicester City,21,1086.0,0.15,0.21,0.36,0.15,0.36,63.0,2.82,32.0,1.0,0.0,1.0,0.0,64.0,18,5.220994475138122,5.303867403314917
458,James Tomkins 18,DF,Crystal Palace,29,2560.0,0.04,0.03,0.08,0.04,0.08,41.0,0.42,11.0,1.0,0.0,0.0,0.0,41.0,18,1.44140625,1.44140625
459,Lucas Torreira 18,MF,Arsenal,22,2382.0,0.06,0.05,0.11,0.06,0.11,121.0,1.81,27.0,7.0,3.0,1.0,7.0,118.0,18,4.571788413098237,4.458438287153653
460,Cenk Tosun 18,FW,Everton,27,1059.0,0.36,0.05,0.42,0.36,0.42,15.0,2.29,16.0,0.0,2.0,2.0,5.0,25.0,18,1.2747875354107647,2.1246458923512748
461,Andros Townsend 18,"FW,MF",Crystal Palace,27,3009.0,0.15,0.15,0.31,0.15,0.31,96.0,3.86,98.0,6.0,14.0,3.0,6.0,240.0,18,2.8713858424725824,7.178464606181456
462,Adama Traoré 18,"FW,DF",Wolves,22,902.0,0.1,0.18,0.28,0.1,0.28,26.0,4.29,27.0,0.0,10.0,3.0,3.0,91.0,18,2.5942350332594235,9.079822616407982
463,Mark Travers 18,GK,Bournemouth,19,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,18,0.5,0.0
464,Kieran Trippier 18,DF,Tottenham,27,2276.0,0.02,0.18,0.2,0.02,0.2,167.0,3.12,54.0,20.0,0.0,3.0,1.0,85.0,18,6.603690685413006,3.3611599297012305
465,Antonio Valencia 18,DF,Manchester Utd,32,466.0,0.01,0.11,0.12,0.01,0.12,23.0,2.51,12.0,1.0,0.0,0.0,0.0,37.0,18,4.44206008583691,7.145922746781116
466,Yan Valery 18,"DF,MF",Southampton,19,1712.0,0.03,0.01,0.04,0.03,0.04,36.0,0.79,10.0,1.0,2.0,1.0,1.0,88.0,18,1.8925233644859814,4.626168224299065
467,Jamie Vardy 18,FW,Leicester City,31,2726.0,0.58,0.15,0.73,0.46,0.6,31.0,1.91,40.0,0.0,5.0,5.0,6.0,60.0,18,1.0234776228906823,1.9809244314013206
468,Jan Vertonghen 18,DF,Tottenham,31,1911.0,0.09,0.01,0.1,0.09,0.1,83.0,0.75,15.0,0.0,0.0,0.0,0.0,101.0,18,3.90894819466248,4.756671899529042
469,Jannik Vestergaard 18,DF,Southampton,25,2027.0,0.02,0.02,0.05,0.02,0.05,56.0,0.53,9.0,0.0,1.0,1.0,1.0,63.0,18,2.4864331524420327,2.7972372964972867
470,Luciano Vietto 18,"FW,MF",Fulham,24,986.0,0.24,0.2,0.44,0.24,0.44,30.0,4.2,37.0,0.0,4.0,2.0,2.0,59.0,18,2.738336713995943,5.385395537525355
471,Rúben Vinagre 18,"DF,MF",Wolves,19,710.0,0.03,0.13,0.16,0.03,0.16,26.0,1.9,10.0,2.0,1.0,1.0,1.0,66.0,18,3.295774647887324,8.366197183098592
472,Sam Vokes 18,"FW,MF",Burnley,28,915.0,0.23,0.04,0.27,0.23,0.27,23.0,1.18,10.0,0.0,0.0,2.0,0.0,5.0,18,2.2622950819672134,0.49180327868852464
473,Michel Vorm 18,GK,Tottenham,34,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0
474,Matěj Vydra 18,"MF,FW",Burnley,26,318.0,0.38,0.07,0.45,0.38,0.45,3.0,1.7,5.0,0.0,0.0,1.0,0.0,7.0,18,0.8490566037735849,1.9811320754716981
475,Theo Walcott 18,"FW,MF",Everton,29,2119.0,0.25,0.11,0.36,0.25,0.36,51.0,2.21,36.0,1.0,2.0,4.0,8.0,90.0,18,2.1661160924964604,3.8225578102878717
476,Kyle Walker 18,DF,Manchester City,28,2779.0,0.03,0.05,0.08,0.03,0.08,155.0,1.81,52.0,1.0,1.0,1.0,1.0,198.0,18,5.019791291831594,6.412378553436488
477,Kyle Walker-Peters 18,DF,Tottenham,21,376.0,0.09,0.17,0.26,0.09,0.26,12.0,2.87,10.0,1.0,0.0,0.0,0.0,23.0,18,2.872340425531915,5.50531914893617
478,Aaron Wan-Bissaka 18,DF,Crystal Palace,20,3134.0,0.01,0.05,0.07,0.01,0.07,118.0,1.15,31.0,3.0,5.0,1.0,0.0,193.0,18,3.3886407147415443,5.542437779195915
479,Victor Wanyama 18,MF,Tottenham,27,516.0,0.17,0.01,0.18,0.17,0.18,14.0,1.05,3.0,0.0,2.0,0.0,1.0,26.0,18,2.441860465116279,4.534883720930233
480,Danny Ward 18,FW,Cardiff City,26,445.0,0.13,0.05,0.19,0.13,0.19,9.0,2.43,9.0,0.0,0.0,1.0,2.0,7.0,18,1.8202247191011236,1.4157303370786516
481,Joel Ward 18,DF,Crystal Palace,28,552.0,0.11,0.03,0.14,0.11,0.14,17.0,1.3,6.0,2.0,0.0,0.0,0.0,16.0,18,2.7717391304347823,2.608695652173913
482,Stephen Ward 18,DF,Burnley,32,228.0,0.04,0.02,0.06,0.04,0.06,8.0,0.79,1.0,1.0,0.0,0.0,0.0,12.0,18,3.1578947368421053,4.736842105263158
483,James Ward-Prowse 18,"MF,DF",Southampton,23,1945.0,0.17,0.15,0.33,0.14,0.29,44.0,3.01,31.0,28.0,0.0,2.0,4.0,52.0,18,2.0359897172236505,2.406169665809769
484,Danny Welbeck 18,"FW,MF",Arsenal,27,153.0,0.52,0.53,1.05,0.52,1.05,10.0,4.12,7.0,0.0,0.0,0.0,0.0,12.0,18,5.882352941176471,7.0588235294117645
485,Ashley Westwood 18,MF,Burnley,28,2824.0,0.06,0.15,0.22,0.06,0.22,161.0,2.33,52.0,15.0,1.0,3.0,1.0,65.0,18,5.131019830028329,2.071529745042493
486,Connor Wickham 18,FW,Crystal Palace,25,67.0,0.86,0.45,1.31,0.86,1.31,1.0,2.69,1.0,0.0,0.0,1.0,0.0,0.0,18,1.3432835820895521,0.0
487,Georginio Wijnaldum 18,MF,Liverpool,27,2725.0,0.09,0.04,0.13,0.09,0.13,123.0,1.65,36.0,1.0,4.0,3.0,3.0,168.0,18,4.062385321100917,5.548623853211009
488,Danny Williams 18,MF,Huddersfield,29,96.0,0.02,0.02,0.04,0.02,0.04,2.0,0.94,1.0,0.0,0.0,0.0,0.0,3.0,18,1.875,2.8125
489,Willian 18,FW,Chelsea,29,2097.0,0.2,0.26,0.46,0.2,0.46,120.0,5.79,81.0,36.0,5.0,5.0,6.0,280.0,18,5.150214592274678,12.017167381974248
490,Joe Willock 18,MF,Arsenal,18,64.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18,0.0,2.8125
491,Ben Wilmot 18,"MF,DF",Watford,18,28.0,0.0,0.0,0.0,0.0,0.0,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,18,3.2142857142857144,0.0
492,Jack Wilshere 18,MF,West Ham,26,392.0,0.07,0.09,0.16,0.07,0.16,11.0,2.3,7.0,0.0,1.0,0.0,1.0,23.0,18,2.525510204081633,5.280612244897959
493,Callum Wilson 18,FW,Bournemouth,26,2528.0,0.53,0.17,0.7,0.48,0.64,42.0,2.31,48.0,0.0,5.0,5.0,7.0,61.0,18,1.495253164556962,2.1716772151898733
494,Harry Winks 18,MF,Tottenham,22,1597.0,0.04,0.01,0.05,0.04,0.05,83.0,1.3,22.0,1.0,0.0,0.0,0.0,126.0,18,4.677520350657483,7.100814026299312
495,Chris Wood 18,FW,Burnley,26,2588.0,0.3,0.07,0.37,0.3,0.37,28.0,1.36,28.0,0.0,1.0,5.0,5.0,30.0,18,0.973724884080371,1.0432766615146831
496,Granit Xhaka 18,"MF,DF",Arsenal,25,2498.0,0.05,0.12,0.18,0.05,0.18,209.0,2.59,52.0,18.0,1.0,1.0,0.0,155.0,18,7.5300240192153725,5.584467574059247
497,Andriy Yarmolenko 18,"MF,FW",West Ham,28,459.0,0.22,0.04,0.26,0.22,0.26,18.0,2.16,10.0,0.0,0.0,0.0,0.0,35.0,18,3.5294117647058827,6.862745098039216
498,DeAndre Yedlin 18,DF,Newcastle Utd,25,2473.0,0.04,0.1,0.14,0.04,0.14,72.0,1.49,32.0,7.0,0.0,1.0,0.0,70.0,18,2.620299231702386,2.547513141932875
499,Maya Yoshida 18,DF,Southampton,29,1518.0,0.11,0.03,0.14,0.11,0.14,34.0,0.83,8.0,1.0,0.0,4.0,1.0,13.0,18,2.015810276679842,0.7707509881422925
500,Ashley Young 18,DF,Manchester Utd,33,2569.0,0.01,0.11,0.13,0.01,0.13,134.0,2.49,39.0,27.0,1.0,2.0,2.0,126.0,18,4.694433631763332,4.4141689373297
501,Pablo Zabaleta 18,DF,West Ham,33,2092.0,0.01,0.04,0.05,0.01,0.05,80.0,0.77,13.0,3.0,0.0,1.0,1.0,82.0,18,3.4416826003824093,3.5277246653919696
502,Wilfried Zaha 18,FW,Crystal Palace,25,3036.0,0.2,0.16,0.36,0.2,0.36,129.0,4.0,84.0,0.0,26.0,8.0,16.0,285.0,18,3.824110671936759,8.448616600790514
503,Andre-Frank Zambo Anguissa 18,MF,Fulham,22,1517.0,0.04,0.02,0.07,0.04,0.07,73.0,1.72,23.0,0.0,2.0,2.0,0.0,96.0,18,4.330916282135795,5.6954515491100866
504,Davide Zappacosta 18,DF,Chelsea,26,128.0,0.04,0.1,0.14,0.04,0.14,2.0,2.11,3.0,0.0,0.0,0.0,0.0,9.0,18,1.40625,6.328125
505,Oleksandr Zinchenko 18,DF,Manchester City,21,1151.0,0.01,0.12,0.13,0.01,0.13,97.0,2.58,30.0,1.0,2.0,0.0,0.0,125.0,18,7.584708948740225,9.774109470026064
506,Kenneth Zohore 18,FW,Cardiff City,24,753.0,0.21,0.13,0.35,0.21,0.35,7.0,2.03,15.0,0.0,0.0,0.0,2.0,17.0,18,0.8366533864541832,2.0318725099601593
507,Kurt Zouma 18,DF,Everton,23,2612.0,0.05,0.01,0.06,0.05,0.06,79.0,0.38,8.0,0.0,2.0,1.0,0.0,84.0,18,2.722052067381317,2.894333843797856
508,Patrick van Aanholt 19,DF,Crystal Palace,28,2507.0,0.08,0.11,0.2,0.06,0.17,129.0,2.23,32.0,23.0,3.0,2.0,2.0,158.0,19,4.631033107299562,5.6721180694056645
509,Max Aarons 19,DF,Norwich City,19,3240.0,0.01,0.09,0.11,0.01,0.11,77.0,1.53,42.0,2.0,3.0,3.0,4.0,204.0,19,2.138888888888889,5.666666666666667
510,Tammy Abraham 19,FW,Chelsea,21,2215.0,0.57,0.1,0.67,0.57,0.67,31.0,2.03,33.0,0.0,6.0,6.0,2.0,51.0,19,1.2595936794582392,2.072234762979684
511,Che Adams 19,FW,Southampton,23,1111.0,0.32,0.1,0.42,0.32,0.42,19.0,2.03,15.0,0.0,3.0,2.0,4.0,37.0,19,1.539153915391539,2.997299729972997
512,Adrián 19,GK,Liverpool,32,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,2.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0
513,Sergio Agüero 19,FW,Manchester City,31,1452.0,0.87,0.15,1.02,0.73,0.88,32.0,3.16,28.0,0.0,9.0,9.0,5.0,65.0,19,1.9834710743801653,4.028925619834711
514,Albian Ajeti 19,"MF,FW",West Ham,22,139.0,0.07,0.03,0.11,0.07,0.11,0.0,1.29,2.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0
515,Nathan Aké 19,DF,Bournemouth,24,2503.0,0.09,0.02,0.11,0.09,0.11,57.0,0.47,7.0,0.0,1.0,4.0,1.0,47.0,19,2.049540551338394,1.6899720335597284
516,Marc Albrighton 19,"MF,DF",Leicester City,29,867.0,0.06,0.2,0.27,0.06,0.27,50.0,2.7,22.0,2.0,1.0,1.0,0.0,50.0,19,5.190311418685122,5.190311418685122
