player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries
Malang Sarr,DF,Chelsea,22-334,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Fabian Schär,DF,Newcastle Utd,30-003,700.0,0.02,0.01,0.03,0.02,0.03,6.0,0.9,5.0,1.0,1.0,0.0,0.0,14.0
Jeffrey Schlupp,"MF,FW",Crystal Palace,29-000,395.0,0.12,0.07,0.19,0.12,0.19,9.0,1.59,5.0,0.0,2.0,0.0,0.0,12.0
Kasper Schmeichel,GK,Leicester City,35-048,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0
Ken Sema,"MF,FW",Watford,28-084,304.0,0.01,0.17,0.18,0.01,0.18,0.0,1.18,2.0,1.0,0.0,0.0,1.0,12.0
Nélson Semedo,DF,Wolves,28-037,1389.0,0.07,0.04,0.12,0.07,0.12,44.0,1.49,18.0,0.0,2.0,1.0,2.0,100.0
Ryan Sessegnon,DF,Tottenham,21-219,166.0,0.0,0.1,0.1,0.0,0.1,4.0,1.63,2.0,0.0,1.0,0.0,0.0,9.0
Jamie Shackleton,DF,Leeds United,22-076,628.0,0.02,0.01,0.02,0.02,0.02,17.0,1.15,6.0,1.0,0.0,1.0,0.0,26.0
Luke Shaw,DF,Manchester Utd,26-164,999.0,0.01,0.12,0.13,0.01,0.13,48.0,3.33,21.0,16.0,0.0,0.0,0.0,63.0
Jonjo Shelvey,MF,Newcastle Utd,29-299,723.0,0.04,0.05,0.09,0.04,0.09,31.0,2.86,15.0,6.0,0.0,0.0,0.0,14.0
Francisco Sierralta,DF,Watford,24-231,247.0,0.0,0.0,0.0,0.0,0.0,3.0,0.36,1.0,0.0,0.0,0.0,0.0,0.0
Bernardo Silva,MF,Manchester City,27-135,1432.0,0.25,0.19,0.45,0.25,0.45,50.0,4.09,52.0,0.0,6.0,3.0,4.0,170.0
Fábio Silva,"MF,FW",Wolves,19-157,41.0,0.07,0.13,0.2,0.07,0.2,0.0,2.2,1.0,0.0,0.0,0.0,0.0,1.0
Thiago Silva,DF,Chelsea,37-092,1232.0,0.04,0.01,0.05,0.04,0.05,56.0,1.02,9.0,0.0,0.0,3.0,1.0,109.0
Ellis Simms,FW,Everton,20-352,61.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,1.0,0.0,0.0,0.0,0.0,1.0
Moussa Sissoko,MF,Watford,32-129,1240.0,0.05,0.06,0.11,0.05,0.11,48.0,2.03,24.0,0.0,1.0,1.0,1.0,33.0
Oliver Skipp,MF,Tottenham,21-098,1066.0,0.01,0.03,0.04,0.01,0.04,50.0,1.18,14.0,0.0,0.0,0.0,0.0,48.0
William Smallbone,MF,Southampton,21-305,69.0,0.1,0.12,0.23,0.1,0.23,1.0,1.3,0.0,1.0,0.0,0.0,0.0,2.0
Emile Smith-Rowe,"MF,FW",Arsenal,21-148,1177.0,0.21,0.12,0.33,0.21,0.33,38.0,2.98,29.0,3.0,2.0,3.0,2.0,88.0
Cédric Soares,DF,Arsenal,30-114,217.0,0.01,0.06,0.07,0.01,0.07,5.0,0.83,2.0,0.0,0.0,0.0,0.0,4.0
Tomáš Souček,MF,West Ham,26-299,1518.0,0.14,0.02,0.16,0.12,0.14,52.0,0.95,13.0,0.0,0.0,1.0,1.0,43.0
Boubakary Soumaré,MF,Leicester City,22-299,859.0,0.03,0.02,0.05,0.03,0.05,27.0,1.36,11.0,0.0,1.0,0.0,0.0,31.0
Çağlar Söyüncü,DF,Leicester City,25-214,1417.0,0.08,0.01,0.09,0.08,0.09,27.0,0.38,6.0,0.0,0.0,0.0,0.0,33.0
Jason Steele,GK,Brighton,31-127,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jed Steer,GK,Aston Villa,29-091,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zack Steffen,GK,Manchester City,26-265,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Stephens,DF,Southampton,27-330,486.0,0.0,0.05,0.05,0.0,0.05,16.0,1.11,5.0,0.0,0.0,0.0,0.0,21.0
Raheem Sterling,FW,Manchester City,27-015,917.0,0.53,0.26,0.78,0.45,0.71,42.0,4.02,33.0,1.0,6.0,0.0,1.0,89.0
John Stones,DF,Manchester City,27-209,413.0,0.17,0.0,0.17,0.17,0.17,15.0,0.87,3.0,0.0,0.0,1.0,0.0,39.0
Pascal Struijk,"DF,MF",Leeds United,22-134,838.0,0.01,0.01,0.02,0.01,0.02,35.0,0.97,5.0,0.0,0.0,0.0,1.0,15.0
Crysencio Summerville,"MF,FW",Leeds United,20-054,122.0,0.23,0.03,0.26,0.23,0.26,6.0,0.74,1.0,0.0,0.0,0.0,0.0,11.0
Jakob Sørensen,"DF,MF",Norwich City,23-295,170.0,0.18,0.0,0.18,0.18,0.18,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Japhet Tanganga,DF,Tottenham,22-267,500.0,0.03,0.07,0.1,0.03,0.1,13.0,0.36,2.0,0.0,0.0,0.0,0.0,16.0
Matt Targett,DF,Aston Villa,26-096,1251.0,0.03,0.15,0.18,0.03,0.18,84.0,1.58,18.0,4.0,0.0,0.0,0.0,31.0
James Tarkowski,DF,Burnley,29-034,1260.0,0.09,0.02,0.11,0.09,0.11,34.0,0.71,9.0,0.0,0.0,1.0,0.0,11.0
Nuno Tavares,DF,Arsenal,21-331,625.0,0.09,0.11,0.2,0.09,0.2,13.0,2.02,8.0,0.0,2.0,1.0,1.0,53.0
Charlie Taylor,DF,Burnley,28-096,1260.0,0.01,0.08,0.09,0.01,0.09,46.0,1.43,16.0,1.0,0.0,0.0,3.0,56.0
Nathan Tella,"MF,FW",Southampton,22-171,447.0,0.09,0.14,0.23,0.09,0.23,4.0,2.21,7.0,0.0,2.0,0.0,2.0,20.0
Alex Telles,DF,Manchester Utd,29-008,378.0,0.04,0.04,0.08,0.04,0.08,14.0,1.9,6.0,2.0,0.0,0.0,0.0,13.0
Luke Thomas,DF,Leicester City,20-196,720.0,0.02,0.1,0.11,0.02,0.11,32.0,1.0,5.0,2.0,0.0,0.0,0.0,25.0
Youri Tielemans,MF,Leicester City,24-230,1066.0,0.25,0.24,0.49,0.18,0.43,84.0,3.38,29.0,4.0,2.0,2.0,1.0,56.0
Kieran Tierney,DF,Arsenal,24-201,1016.0,0.04,0.09,0.12,0.04,0.12,35.0,2.04,18.0,2.0,1.0,1.0,1.0,56.0
Takehiro Tomiyasu,DF,Arsenal,23-048,1293.0,0.02,0.04,0.06,0.02,0.06,46.0,1.67,20.0,1.0,0.0,0.0,0.0,56.0
James Tomkins,DF,Crystal Palace,32-269,449.0,0.11,0.07,0.18,0.11,0.18,6.0,0.6,3.0,0.0,0.0,0.0,0.0,7.0
Ivan Toney,FW,Brentford,25-282,1260.0,0.3,0.2,0.5,0.19,0.39,31.0,1.93,21.0,0.0,1.0,1.0,3.0,25.0
Ferrán Torres,FW,Manchester City,21-297,303.0,0.74,0.01,0.75,0.74,0.75,2.0,1.49,4.0,0.0,0.0,1.0,0.0,2.0
Cenk Tosun,FW,Everton,30-199,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andros Townsend,MF,Everton,30-160,1266.0,0.15,0.16,0.32,0.1,0.26,43.0,3.55,36.0,7.0,1.0,1.0,4.0,62.0
Adama Traoré,FW,Wolves,25-332,1013.0,0.16,0.15,0.32,0.16,0.32,22.0,4.35,30.0,0.0,12.0,0.0,5.0,91.0
Bertrand Traoré,"MF,DF",Aston Villa,26-108,57.0,0.25,0.0,0.25,0.25,0.25,6.0,9.47,1.0,0.0,3.0,1.0,1.0,7.0
Francisco Trincão,"FW,MF",Wolves,21-359,795.0,0.3,0.07,0.37,0.3,0.37,18.0,2.38,14.0,0.0,5.0,0.0,1.0,43.0
William Troost-Ekong,DF,Watford,28-113,1287.0,0.01,0.01,0.01,0.01,0.01,31.0,0.28,3.0,0.0,0.0,0.0,0.0,22.0
Leandro Trossard,"FW,MF",Brighton,27-019,1406.0,0.2,0.1,0.3,0.15,0.25,67.0,2.94,32.0,4.0,6.0,2.0,2.0,90.0
Kostas Tsimikas,DF,Liverpool,25-225,400.0,0.03,0.27,0.3,0.03,0.3,21.0,3.6,10.0,6.0,0.0,0.0,0.0,33.0
Axel Tuanzebe,DF,Aston Villa,24-039,508.0,0.03,0.0,0.03,0.03,0.03,6.0,0.18,1.0,0.0,0.0,0.0,0.0,4.0
Ozan Tufan,MF,Watford,26-275,273.0,0.17,0.08,0.25,0.17,0.25,10.0,2.31,6.0,1.0,0.0,0.0,0.0,7.0
