player,position,squad,age,minutes,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,progressive_passes,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,progressive_carries
Shandon Baptiste,MF,Brentford,23-259,406.0,0.04,0.03,0.07,0.04,0.07,8.0,1.77,6.0,0.0,0.0,1.0,0.0,23.0
Ross Barkley,MF,Chelsea,28-018,154.0,0.48,0.32,0.8,0.48,0.8,10.0,9.94,11.0,3.0,2.0,0.0,1.0,18.0
Ashley Barnes,FW,Burnley,32-054,382.0,0.16,0.19,0.34,0.16,0.34,8.0,3.06,9.0,0.0,0.0,2.0,1.0,7.0
Harvey Barnes,"FW,MF",Leicester City,24-014,1025.0,0.2,0.12,0.32,0.2,0.32,30.0,2.02,19.0,0.0,2.0,1.0,1.0,87.0
Mads Bech Sørensen,DF,Brentford,22-350,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Bednarek,DF,Southampton,25-255,984.0,0.07,0.01,0.08,0.07,0.08,22.0,0.73,7.0,0.0,0.0,0.0,0.0,11.0
Donny van de Beek,MF,Manchester Utd,24-249,73.0,0.82,0.6,1.41,0.82,1.41,3.0,4.93,4.0,0.0,0.0,0.0,0.0,2.0
Asmir Begović,GK,Everton,34-186,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saïd Benrahma,"FW,MF",West Ham,26-135,1204.0,0.18,0.11,0.28,0.18,0.28,39.0,3.14,32.0,0.0,3.0,2.0,4.0,66.0
Christian Benteke,FW,Crystal Palace,31-020,992.0,0.45,0.1,0.55,0.45,0.55,11.0,1.45,14.0,0.0,1.0,1.0,0.0,23.0
Jóhann Berg Guðmundsson,MF,Burnley,31-057,959.0,0.14,0.03,0.17,0.14,0.17,12.0,1.5,12.0,0.0,1.0,1.0,2.0,33.0
Steven Bergwijn,FW,Tottenham,24-076,285.0,0.24,0.13,0.37,0.24,0.37,8.0,3.16,7.0,0.0,1.0,1.0,1.0,18.0
Ryan Bertrand,DF,Leicester City,32-140,337.0,0.0,0.08,0.08,0.0,0.08,7.0,0.53,1.0,1.0,0.0,0.0,0.0,11.0
Mads Bidstrup,MF,Brentford,20-301,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yves Bissouma,MF,Brighton,25-115,1030.0,0.04,0.04,0.08,0.04,0.08,30.0,1.31,8.0,0.0,3.0,1.0,2.0,56.0
Jarrod Bowen,FW,West Ham,25-003,1404.0,0.32,0.17,0.48,0.32,0.48,23.0,3.65,30.0,12.0,4.0,7.0,2.0,58.0
Jarrad Branthwaite,DF,Everton,19-179,90.0,0.36,0.0,0.36,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armando Broja,FW,Southampton,20-104,623.0,0.38,0.13,0.51,0.38,0.51,8.0,1.73,5.0,0.0,1.0,2.0,2.0,22.0
Josh Brownhill,MF,Burnley,26-004,1203.0,0.05,0.08,0.12,0.05,0.12,40.0,1.87,20.0,2.0,0.0,1.0,1.0,30.0
Bryan,"FW,MF",Tottenham,20-315,62.0,0.0,0.0,0.0,0.0,0.0,2.0,1.45,1.0,0.0,0.0,0.0,0.0,7.0
Emi Buendía,"FW,MF",Aston Villa,24-363,892.0,0.12,0.18,0.3,0.12,0.3,45.0,3.13,27.0,2.0,1.0,1.0,0.0,45.0
Dan Burn,DF,Brighton,29-228,482.0,0.08,0.01,0.08,0.08,0.08,25.0,0.93,4.0,0.0,0.0,1.0,0.0,15.0
Jack Butland,GK,Crystal Palace,28-288,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Byram,MF,Norwich City,28-098,46.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Willy Caballero,GK,Southampton,40-086,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Calvert-Lewin,FW,Everton,24-282,248.0,1.38,0.05,1.44,0.83,0.89,2.0,2.9,4.0,1.0,0.0,1.0,2.0,1.0
João Cancelo,DF,Manchester City,27-210,1517.0,0.12,0.17,0.29,0.12,0.29,134.0,3.03,43.0,0.0,2.0,6.0,0.0,175.0
Sergi Canós,DF,Brentford,24-324,1220.0,0.13,0.09,0.22,0.13,0.22,56.0,1.77,21.0,1.0,1.0,1.0,0.0,76.0
Todd Cantwell,"FW,MF",Norwich City,23-299,441.0,0.03,0.04,0.07,0.03,0.07,10.0,1.02,5.0,0.0,0.0,0.0,0.0,15.0
Matty Cash,DF,Aston Villa,24-138,1513.0,0.06,0.05,0.11,0.06,0.11,41.0,1.43,16.0,4.0,2.0,1.0,1.0,73.0
Timothy Castagne,DF,Leicester City,26-018,1138.0,0.01,0.02,0.03,0.01,0.03,39.0,1.03,10.0,2.0,0.0,0.0,1.0,43.0
Craig Cathcart,DF,Watford,32-320,1193.0,0.0,0.0,0.0,0.0,0.0,24.0,0.15,2.0,0.0,0.0,0.0,0.0,6.0
Edinson Cavani,FW,Manchester Utd,34-312,213.0,0.6,0.01,0.61,0.6,0.61,2.0,0.85,1.0,0.0,0.0,1.0,0.0,1.0
Trevoh Chalobah,DF,Chelsea,22-171,750.0,0.07,0.0,0.07,0.07,0.07,29.0,0.36,3.0,0.0,0.0,0.0,0.0,36.0
Calum Chambers,DF,Arsenal,26-337,170.0,0.05,0.03,0.07,0.05,0.07,9.0,0.53,1.0,0.0,0.0,0.0,0.0,4.0
Ben Chilwell,DF,Chelsea,25-002,540.0,0.19,0.15,0.35,0.19,0.35,13.0,3.5,11.0,7.0,1.0,1.0,0.0,23.0
Hamza Choudhury,MF,Leicester City,24-083,59.0,0.0,0.0,0.0,0.0,0.0,3.0,1.53,0.0,0.0,0.0,0.0,1.0,0.0
Andreas Christensen,DF,Chelsea,25-257,917.0,0.03,0.01,0.04,0.03,0.04,45.0,0.39,3.0,0.0,1.0,0.0,0.0,37.0
Carney Chukwuemeka,"MF,FW",Aston Villa,17-350,107.0,0.33,0.83,1.16,0.33,1.16,0.0,1.68,2.0,0.0,0.0,0.0,0.0,4.0
Ciaran Clark,DF,Newcastle Utd,32-088,991.0,0.07,0.03,0.1,0.07,0.1,15.0,0.45,4.0,0.0,0.0,1.0,0.0,13.0
Tom Cleverley,MF,Watford,32-133,725.0,0.04,0.16,0.2,0.04,0.2,22.0,3.1,14.0,7.0,0.0,1.0,3.0,9.0
Nathaniel Clyne,DF,Crystal Palace,30-262,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Coady,DF,Wolves,28-301,1616.0,0.06,0.0,0.06,0.06,0.06,17.0,0.17,3.0,0.0,0.0,0.0,0.0,16.0
Séamus Coleman,DF,Everton,33-073,1170.0,0.01,0.05,0.06,0.01,0.06,47.0,1.54,16.0,1.0,0.0,1.0,1.0,48.0
Nathan Collins,DF,Burnley,20-237,450.0,0.01,0.09,0.1,0.01,0.1,8.0,0.6,3.0,0.0,0.0,0.0,0.0,3.0
Aaron Connolly,FW,Brighton,21-329,156.0,0.26,0.2,0.47,0.26,0.47,0.0,1.15,2.0,0.0,0.0,0.0,0.0,3.0
Liam Cooper,DF,Leeds United,30-115,1274.0,0.02,0.0,0.02,0.02,0.02,34.0,0.49,5.0,0.0,0.0,1.0,1.0,19.0
Jack Cork,MF,Burnley,32-181,494.0,0.02,0.0,0.02,0.02,0.02,7.0,0.55,2.0,0.0,0.0,0.0,0.0,11.0
Maxwel Cornet,"FW,MF",Burnley,25-087,562.0,0.25,0.09,0.33,0.25,0.33,11.0,1.28,7.0,0.0,0.0,1.0,0.0,13.0
Hélder Costa,MF,Leeds United,27-345,22.0,0.11,0.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimír Coufal,DF,West Ham,29-123,1004.0,0.02,0.14,0.16,0.02,0.16,47.0,2.51,19.0,7.0,0.0,1.0,0.0,42.0
Aaron Cresswell,DF,West Ham,32-008,1140.0,0.03,0.11,0.14,0.03,0.14,83.0,2.05,14.0,10.0,0.0,2.0,0.0,52.0
Charlie Cresswell,DF,Leeds United,19-016,95.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Cucho,"FW,MF",Watford,22-247,610.0,0.13,0.18,0.32,0.13,0.32,19.0,3.54,14.0,4.0,2.0,3.0,1.0,35.0
Marc Cucurella,DF,Brighton,23-154,1109.0,0.01,0.1,0.11,0.01,0.11,55.0,2.43,26.0,2.0,1.0,0.0,0.0,67.0
Patson Daka,"FW,MF",Leicester City,23-075,290.0,0.58,0.43,1.01,0.58,1.01,7.0,3.41,9.0,0.0,1.0,1.0,0.0,8.0
Stuart Dallas,"DF,MF",Leeds United,30-248,1607.0,0.07,0.08,0.14,0.07,0.14,55.0,2.18,25.0,9.0,1.0,1.0,2.0,86.0
Diogo Dalot,DF,Manchester Utd,22-280,363.0,0.06,0.02,0.07,0.06,0.07,25.0,1.74,6.0,1.0,0.0,0.0,0.0,21.0
Karl Darlow,GK,Newcastle Utd,31-076,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Davies,DF,Tottenham,28-243,571.0,0.17,0.06,0.22,0.17,0.22,26.0,0.63,4.0,0.0,0.0,0.0,0.0,35.0
Tom Davies,MF,Everton,23-176,158.0,0.52,0.0,0.52,0.52,0.52,7.0,2.28,3.0,0.0,0.0,1.0,0.0,3.0
Keinan Davis,FW,Aston Villa,23-313,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Craig Dawson,DF,West Ham,31-231,983.0,0.09,0.0,0.09,0.09,0.09,18.0,0.18,1.0,0.0,0.0,1.0,0.0,19.0
Kevin De Bruyne,MF,Manchester City,30-178,674.0,0.31,0.43,0.73,0.31,0.73,53.0,6.14,36.0,6.0,1.0,2.0,1.0,53.0
Troy Deeney,FW,Watford,33-177,25.0,1.45,0.32,1.77,1.45,1.77,1.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0
Fabian Delph,MF,Everton,32-032,249.0,0.01,0.02,0.02,0.01,0.02,13.0,0.72,2.0,0.0,0.0,0.0,0.0,7.0
Leander Dendoncker,"MF,FW",Wolves,26-252,696.0,0.08,0.09,0.18,0.08,0.18,15.0,1.03,8.0,0.0,0.0,0.0,0.0,8.0
Emmanuel Dennis,"FW,MF",Watford,24-038,1168.0,0.3,0.13,0.42,0.3,0.42,23.0,3.24,25.0,0.0,7.0,4.0,4.0,57.0
Kiernan Dewsbury Hall,MF,Leicester City,23-108,258.0,0.17,0.09,0.27,0.17,0.27,6.0,3.84,9.0,0.0,1.0,0.0,1.0,16.0
Ibrahima Diallo,MF,Southampton,22-290,504.0,0.06,0.07,0.13,0.06,0.13,19.0,2.14,10.0,0.0,1.0,0.0,1.0,20.0
Raphael Dias Belloli,"MF,FW",Leeds United,25-009,1347.0,0.39,0.18,0.57,0.24,0.42,82.0,3.54,23.0,14.0,6.0,6.0,3.0,85.0
Rúben Dias,DF,Manchester City,24-223,1412.0,0.06,0.07,0.13,0.06,0.13,63.0,1.02,15.0,0.0,0.0,0.0,0.0,140.0
Eric Dier,DF,Tottenham,27-342,1271.0,0.02,0.09,0.11,0.02,0.11,35.0,0.99,10.0,0.0,0.0,2.0,0.0,25.0
Lucas Digne,DF,Everton,28-156,1170.0,0.03,0.13,0.16,0.03,0.16,49.0,2.54,22.0,9.0,1.0,0.0,1.0,47.0
Virgil van Dijk,DF,Liverpool,30-168,1440.0,0.09,0.01,0.09,0.09,0.09,50.0,0.75,8.0,0.0,0.0,4.0,0.0,39.0
Issa Diop,DF,West Ham,24-348,270.0,0.02,0.0,0.02,0.02,0.02,1.0,0.33,1.0,0.0,0.0,0.0,0.0,1.0
Moussa Djenepo,MF,Southampton,23-191,430.0,0.31,0.05,0.36,0.31,0.36,20.0,3.35,12.0,0.0,2.0,1.0,1.0,28.0
Lewis Dobbin,"FW,MF",Everton,18-354,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Matt Doherty,DF,Tottenham,29-341,57.0,0.05,0.0,0.05,0.05,0.05,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Gabriel Dos Santos,DF,Arsenal,24-004,1328.0,0.06,0.02,0.08,0.06,0.08,23.0,0.68,8.0,0.0,0.0,1.0,0.0,45.0
Abdoulaye Doucouré,MF,Everton,28-356,1170.0,0.14,0.09,0.23,0.14,0.23,49.0,2.54,29.0,0.0,1.0,2.0,0.0,43.0
Kieran Dowell,"FW,MF",Norwich City,24-074,251.0,0.04,0.21,0.25,0.04,0.25,5.0,3.23,9.0,0.0,0.0,0.0,0.0,9.0
Cody Drameh,DF,Leeds United,20-015,128.0,0.0,0.01,0.01,0.0,0.01,6.0,1.41,2.0,0.0,0.0,0.0,0.0,9.0
Martin Dúbravka,GK,Newcastle Utd,32-342,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shane Duffy,DF,Brighton,29-356,1135.0,0.07,0.01,0.08,0.07,0.08,18.0,0.4,3.0,0.0,0.0,2.0,0.0,15.0
Lewis Dunk,DF,Brighton,30-032,1260.0,0.03,0.01,0.04,0.03,0.04,25.0,0.43,6.0,0.0,0.0,0.0,0.0,25.0
Ederson,GK,Manchester City,28-128,1530.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,1.0,2.0,0.0,0.0,0.0,0.0
Odsonne Édouard,FW,Crystal Palace,23-341,788.0,0.34,0.13,0.47,0.34,0.47,17.0,2.17,12.0,0.0,2.0,4.0,0.0,30.0
Anthony Elanga,FW,Manchester Utd,19-240,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Harvey Elliott,MF,Liverpool,18-263,250.0,0.25,0.11,0.36,0.25,0.36,26.0,5.4,9.0,1.0,1.0,2.0,2.0,25.0
Mohamed Elneny,MF,Arsenal,29-165,153.0,0.01,0.09,0.1,0.01,0.1,1.0,2.35,4.0,0.0,0.0,0.0,0.0,2.0
Mohamed Elyounoussi,MF,Southampton,27-141,816.0,0.28,0.07,0.35,0.28,0.35,22.0,2.32,17.0,0.0,0.0,3.0,1.0,53.0
Emerson,DF,Tottenham,22-343,937.0,0.02,0.04,0.06,0.02,0.06,26.0,1.15,10.0,0.0,2.0,0.0,0.0,49.0
Oghenekaro Etebo,MF,Watford,26-044,371.0,0.01,0.01,0.02,0.01,0.02,11.0,0.97,4.0,0.0,0.0,0.0,0.0,10.0
Jonny Evans,DF,Leicester City,33-354,752.0,0.09,0.05,0.14,0.09,0.14,20.0,0.48,3.0,1.0,0.0,0.0,0.0,9.0
Eberechi Eze,MF,Crystal Palace,23-177,38.0,0.0,0.0,0.0,0.0,0.0,1.0,2.37,0.0,1.0,0.0,0.0,0.0,3.0
Łukasz Fabiański,GK,West Ham,36-249,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0
Fabinho,MF,Liverpool,28-061,1009.0,0.07,0.05,0.12,0.07,0.12,48.0,1.43,12.0,0.0,0.0,2.0,2.0,52.0
Kiko Femenía,DF,Watford,30-324,809.0,0.0,0.09,0.09,0.0,0.09,28.0,1.56,11.0,3.0,0.0,0.0,0.0,26.0
Bruno Fernandes,MF,Manchester Utd,27-106,1379.0,0.24,0.27,0.51,0.19,0.46,82.0,4.5,58.0,8.0,0.0,2.0,1.0,87.0
Álvaro Fernández,GK,Brentford,23-254,630.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Fernández,DF,Newcastle Utd,32-305,523.0,0.07,0.06,0.13,0.07,0.13,8.0,0.52,1.0,0.0,0.0,2.0,0.0,0.0
Fernandinho,MF,Manchester City,36-233,340.0,0.18,0.17,0.35,0.18,0.35,20.0,3.97,13.0,0.0,0.0,1.0,1.0,22.0
Roberto Firmino,FW,Liverpool,30-082,419.0,0.86,0.17,1.03,0.86,1.03,15.0,3.44,15.0,0.0,0.0,0.0,0.0,29.0
Junior Firpo,DF,Leeds United,25-123,815.0,0.04,0.07,0.11,0.04,0.11,33.0,2.43,14.0,4.0,1.0,1.0,1.0,48.0
Ashley Fletcher,FW,Watford,26-082,30.0,1.16,0.0,1.16,1.16,1.16,1.0,12.0,2.0,0.0,0.0,1.0,1.0,1.0
Phil Foden,FW,Manchester City,21-209,811.0,0.5,0.39,0.89,0.5,0.89,33.0,3.77,24.0,7.0,0.0,3.0,0.0,56.0
Pablo Fornals,"FW,MF",West Ham,25-304,1310.0,0.2,0.14,0.34,0.2,0.34,76.0,2.95,35.0,2.0,1.0,2.0,2.0,67.0
Adam Forshaw,MF,Leeds United,30-076,741.0,0.02,0.1,0.12,0.02,0.12,25.0,2.06,16.0,0.0,0.0,1.0,0.0,19.0
Marcus Forss,"FW,MF",Brentford,22-188,197.0,0.09,0.0,0.09,0.09,0.09,4.0,0.91,1.0,0.0,0.0,1.0,0.0,3.0
Ben Foster,GK,Watford,38-264,720.0,0.0,0.01,0.01,0.0,0.01,0.0,0.5,4.0,0.0,0.0,0.0,0.0,0.0
Ryan Fraser,MF,Newcastle Utd,27-302,527.0,0.08,0.09,0.17,0.08,0.17,3.0,2.05,6.0,2.0,0.0,2.0,2.0,29.0
Fred,MF,Manchester Utd,28-293,1120.0,0.04,0.05,0.09,0.04,0.09,54.0,2.09,19.0,0.0,0.0,1.0,4.0,34.0
Ryan Fredericks,DF,West Ham,29-074,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Conor Gallagher,MF,Crystal Palace,21-320,1405.0,0.23,0.19,0.43,0.23,0.43,38.0,4.23,32.0,17.0,3.0,7.0,6.0,63.0
Dwight Gayle,FW,Newcastle Utd,31-067,23.0,0.19,0.0,0.19,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean-Philippe Gbamin,MF,Everton,26-089,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
David de Gea,GK,Manchester Utd,31-046,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0
Joe Gelhardt,FW,Leeds United,19-233,274.0,0.34,0.03,0.37,0.34,0.37,4.0,2.96,4.0,0.0,1.0,1.0,3.0,12.0
Anwar El Ghazi,"FW,MF",Aston Villa,26-234,371.0,0.25,0.09,0.34,0.07,0.16,7.0,2.67,8.0,1.0,1.0,0.0,1.0,26.0
Saman Ghoddos,"MF,FW",Brentford,28-108,278.0,0.2,0.24,0.44,0.2,0.44,15.0,5.18,11.0,1.0,0.0,1.0,2.0,16.0
Dimitris Giannoulis,DF,Norwich City,26-067,490.0,0.01,0.06,0.07,0.01,0.07,16.0,1.1,6.0,0.0,0.0,0.0,0.0,28.0
Morgan Gibbs-White,"FW,MF",Wolves,21-330,9.0,1.22,0.0,1.22,1.22,1.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ben Gibson,DF,Norwich City,28-342,1144.0,0.08,0.0,0.09,0.08,0.09,53.0,0.31,4.0,0.0,0.0,0.0,0.0,50.0
Billy Gilmour,MF,Norwich City,20-195,873.0,0.03,0.1,0.13,0.03,0.13,50.0,2.89,11.0,14.0,1.0,2.0,0.0,44.0
Ben Godfrey,DF,Everton,23-342,1219.0,0.06,0.03,0.09,0.06,0.09,20.0,1.4,16.0,0.0,1.0,1.0,0.0,27.0
André Gomes,MF,Everton,28-146,252.0,0.2,0.04,0.25,0.2,0.25,6.0,2.5,4.0,0.0,2.0,1.0,0.0,9.0
Joe Gomez,DF,Liverpool,24-214,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie Goode,DF,Brentford,26-142,450.0,0.03,0.07,0.1,0.03,0.1,11.0,2.4,2.0,7.0,1.0,1.0,0.0,13.0
Anthony Gordon,"MF,FW",Everton,20-302,701.0,0.15,0.1,0.24,0.15,0.24,18.0,2.18,11.0,1.0,1.0,0.0,4.0,39.0
Dan Gosling,MF,Watford,31-325,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demarai Gray,"MF,FW",Everton,25-178,1236.0,0.19,0.15,0.34,0.19,0.34,22.0,3.13,25.0,5.0,7.0,1.0,5.0,95.0
Jack Grealish,FW,Manchester City,26-104,972.0,0.33,0.3,0.62,0.33,0.62,40.0,5.83,49.0,1.0,3.0,4.0,6.0,173.0
Mason Greenwood,FW,Manchester Utd,20-083,848.0,0.27,0.14,0.41,0.27,0.41,29.0,3.5,27.0,0.0,3.0,1.0,2.0,71.0
Sam Greenwood,MF,Leeds United,19-331,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pascal Groß,"MF,DF",Brighton,30-191,849.0,0.08,0.2,0.28,0.08,0.28,40.0,4.35,23.0,15.0,0.0,3.0,0.0,46.0
Vicente Guaita,GK,Crystal Palace,34-347,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc Guéhi,DF,Crystal Palace,21-163,1530.0,0.09,0.0,0.09,0.09,0.09,51.0,0.35,6.0,0.0,0.0,0.0,0.0,56.0
İlkay Gündoğan,MF,Manchester City,31-060,938.0,0.47,0.23,0.7,0.47,0.7,42.0,3.65,28.0,9.0,1.0,0.0,0.0,66.0
Grant Hanley,DF,Norwich City,30-033,1277.0,0.05,0.01,0.07,0.05,0.07,18.0,0.42,3.0,0.0,0.0,3.0,0.0,14.0
Jack Harrison,"MF,FW",Leeds United,25-033,1105.0,0.07,0.09,0.17,0.07,0.17,45.0,2.61,24.0,1.0,3.0,2.0,2.0,106.0
Kortney Hause,DF,Aston Villa,26-160,261.0,0.02,0.0,0.02,0.02,0.02,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kai Havertz,"FW,MF",Chelsea,22-195,856.0,0.3,0.07,0.38,0.3,0.38,22.0,2.0,14.0,0.0,0.0,2.0,3.0,53.0
Isaac Hayden,"MF,DF",Newcastle Utd,26-276,1002.0,0.04,0.01,0.05,0.04,0.05,9.0,0.54,6.0,0.0,0.0,0.0,0.0,12.0
Hwang Hee-chan,"FW,MF",Wolves,25-331,979.0,0.2,0.09,0.29,0.2,0.29,13.0,1.1,9.0,0.0,1.0,2.0,0.0,52.0
Jordan Henderson,MF,Liverpool,31-189,1228.0,0.07,0.17,0.24,0.07,0.24,81.0,3.15,39.0,2.0,2.0,0.0,0.0,64.0
Jeff Hendrick,MF,Newcastle Utd,29-326,72.0,0.04,0.06,0.1,0.04,0.1,1.0,1.25,1.0,0.0,0.0,0.0,0.0,1.0
Rico Henry,DF,Brentford,24-168,1374.0,0.07,0.04,0.11,0.07,0.11,47.0,1.51,19.0,0.0,3.0,0.0,1.0,47.0
Son Heung-min,"FW,MF",Tottenham,29-168,1228.0,0.38,0.19,0.57,0.38,0.57,25.0,3.3,25.0,14.0,1.0,4.0,0.0,73.0
Ki-Jana Hoever,DF,Wolves,19-339,194.0,0.01,0.02,0.03,0.01,0.03,6.0,1.39,3.0,0.0,0.0,0.0,0.0,8.0
Rob Holding,"DF,MF",Arsenal,26-094,202.0,0.06,0.0,0.06,0.06,0.06,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mason Holgate,DF,Everton,25-062,518.0,0.04,0.0,0.04,0.04,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Callum Hudson-Odoi,"FW,MF",Chelsea,21-046,596.0,0.18,0.3,0.48,0.18,0.48,23.0,5.44,26.0,0.0,7.0,2.0,1.0,74.0
Will Hughes,MF,Crystal Palace,26-250,173.0,0.0,0.17,0.17,0.0,0.17,2.0,1.56,0.0,1.0,0.0,0.0,1.0,7.0
Pierre Højbjerg,MF,Tottenham,26-140,1259.0,0.06,0.05,0.12,0.06,0.12,63.0,2.0,23.0,1.0,2.0,0.0,1.0,55.0
Adam Idah,FW,Norwich City,20-287,179.0,0.64,0.22,0.86,0.64,0.86,3.0,1.51,3.0,0.0,0.0,0.0,0.0,8.0
Kelechi Iheanacho,"FW,MF",Leicester City,25-081,447.0,0.26,0.26,0.52,0.26,0.52,15.0,3.62,12.0,1.0,2.0,1.0,0.0,23.0
Danny Ings,FW,Aston Villa,29-153,871.0,0.23,0.07,0.3,0.15,0.22,13.0,1.14,8.0,0.0,1.0,1.0,0.0,14.0
Alex Iwobi,"MF,FW",Everton,25-234,714.0,0.13,0.14,0.27,0.13,0.27,22.0,2.52,19.0,0.0,0.0,1.0,0.0,40.0
Daniel James,"FW,MF",Leeds United,24-043,1056.0,0.16,0.09,0.25,0.16,0.25,25.0,2.39,17.0,0.0,3.0,2.0,5.0,69.0
Daniel James,FW,Manchester Utd,24-043,126.0,0.17,0.01,0.19,0.17,0.19,0.0,2.14,2.0,0.0,0.0,1.0,0.0,10.0
Reece James,DF,Chelsea,22-015,998.0,0.15,0.3,0.45,0.15,0.45,60.0,4.15,34.0,6.0,3.0,2.0,1.0,80.0
Vitaly Janelt,MF,Brentford,23-227,1005.0,0.1,0.09,0.2,0.1,0.2,47.0,2.15,18.0,2.0,1.0,1.0,1.0,28.0
Pontus Jansson,DF,Brentford,30-313,1431.0,0.09,0.03,0.12,0.09,0.12,29.0,0.44,4.0,0.0,0.0,3.0,0.0,18.0
Mathias Jensen,MF,Brentford,25-356,523.0,0.02,0.18,0.2,0.02,0.2,24.0,3.79,10.0,12.0,0.0,0.0,0.0,28.0
Gabriel Jesus,FW,Manchester City,24-264,1138.0,0.39,0.27,0.66,0.39,0.66,37.0,3.4,33.0,0.0,5.0,5.0,0.0,98.0
Raúl Jiménez,FW,Wolves,30-232,1394.0,0.21,0.1,0.31,0.21,0.31,25.0,2.52,24.0,0.0,4.0,5.0,3.0,54.0
Joelinton,"MF,FW",Newcastle Utd,25-131,1123.0,0.1,0.07,0.17,0.1,0.17,30.0,2.4,20.0,0.0,2.0,3.0,4.0,49.0
Ben Johnson,DF,West Ham,21-333,675.0,0.01,0.04,0.05,0.01,0.05,27.0,0.8,6.0,0.0,0.0,0.0,0.0,24.0
Curtis Jones,MF,Liverpool,20-327,322.0,0.12,0.04,0.17,0.12,0.17,8.0,1.96,3.0,0.0,0.0,2.0,2.0,30.0
Jorginho,MF,Chelsea,30-003,1173.0,0.25,0.13,0.38,0.02,0.15,63.0,2.38,25.0,1.0,0.0,2.0,2.0,50.0
Diogo Jota,FW,Liverpool,25-019,1214.0,0.75,0.24,0.99,0.75,0.99,39.0,3.71,32.0,0.0,11.0,1.0,4.0,64.0
Mathias Jørgensen,DF,Brentford,31-244,428.0,0.02,0.02,0.04,0.02,0.04,13.0,1.26,3.0,2.0,0.0,1.0,0.0,10.0
Ozan Kabak,DF,Norwich City,21-273,652.0,0.03,0.0,0.03,0.03,0.03,12.0,0.97,2.0,0.0,1.0,1.0,2.0,12.0
Christian Kabasele,DF,Watford,30-302,203.0,0.1,0.0,0.1,0.1,0.1,2.0,0.89,2.0,0.0,0.0,0.0,0.0,3.0
Harry Kane,FW,Tottenham,28-148,1189.0,0.44,0.2,0.63,0.44,0.63,31.0,2.2,21.0,0.0,2.0,4.0,2.0,37.0
